,dt,temperature,humidity
92,2023-04-16 21:56:33.071766+02:00,20.4,53.6
93,2023-04-16 21:57:32.998537+02:00,20.4,53.9
94,2023-04-16 21:58:33.090372+02:00,20.3,53.8
95,2023-04-16 21:59:33.121581+02:00,20.3,53.6
96,2023-04-16 22:00:33.105004+02:00,20.3,53.5
97,2023-04-16 22:01:33.110255+02:00,20.3,53.5
98,2023-04-16 22:02:33.110947+02:00,20.3,53.6
99,2023-04-16 22:03:33.046887+02:00,20.3,53.7
100,2023-04-16 22:04:33.012736+02:00,20.3,54.0
101,2023-04-16 22:05:33.085276+02:00,20.3,54.0
102,2023-04-16 22:06:33.041732+02:00,20.3,54.1
103,2023-04-16 22:07:33.051976+02:00,20.3,54.1
104,2023-04-16 22:08:33.016673+02:00,20.3,54.2
105,2023-04-16 22:09:33.054390+02:00,20.3,54.3
106,2023-04-16 22:10:33.131773+02:00,20.3,54.3
107,2023-04-16 22:11:33.083652+02:00,20.3,54.3
108,2023-04-16 22:12:33.135549+02:00,20.3,54.2
109,2023-04-16 22:13:33.091578+02:00,20.3,54.2
110,2023-04-16 22:14:33.092928+02:00,20.3,54.1
111,2023-04-16 22:15:33.108144+02:00,20.3,53.9
112,2023-04-16 22:16:33.157353+02:00,20.3,54.0
113,2023-04-16 22:17:33.117244+02:00,20.2,53.9
114,2023-04-16 22:18:33.024714+02:00,20.3,54.0
115,2023-04-16 22:19:33.028888+02:00,20.3,53.9
116,2023-04-16 22:20:33.036604+02:00,20.3,54.0
117,2023-04-16 22:21:33.040045+02:00,20.3,53.9
118,2023-04-16 22:22:33.049287+02:00,20.3,53.9
119,2023-04-16 22:23:33.059394+02:00,20.3,53.9
120,2023-04-16 22:24:33.063907+02:00,20.3,53.8
121,2023-04-16 22:25:33.067161+02:00,20.3,53.9
122,2023-04-16 22:26:33.076733+02:00,20.3,53.8
123,2023-04-16 22:27:33.007064+02:00,20.3,53.9
124,2023-04-16 22:28:33.133702+02:00,20.3,53.9
125,2023-05-24 18:21:11.776044+02:00,19.7,45.7
126,2023-05-24 18:23:09.628182+02:00,19.7,44.8
127,2023-05-24 18:24:10.302620+02:00,19.7,44.0
128,2023-05-24 18:25:10.335503+02:00,19.7,44.0
129,2023-05-24 18:26:10.323382+02:00,19.6,45.0
130,2023-05-24 18:27:10.361934+02:00,19.5,44.8
131,2023-05-24 18:28:10.321418+02:00,19.4,45.4
132,2023-05-24 18:29:10.372933+02:00,19.4,45.6
133,2023-05-24 18:30:10.457729+02:00,19.4,46.4
134,2023-05-24 18:31:10.480062+02:00,19.3,45.2
135,2023-05-24 18:32:10.375606+02:00,19.3,45.0
136,2023-05-24 18:33:10.378429+02:00,19.4,44.7
137,2023-05-24 18:34:10.437545+02:00,19.5,45.5
138,2023-05-24 18:35:10.401886+02:00,19.5,44.9
139,2023-05-24 18:36:10.399402+02:00,19.5,44.5
140,2023-05-24 18:37:10.343151+02:00,19.6,45.2
141,2023-05-24 18:38:10.339895+02:00,19.6,44.8
142,2023-05-24 18:39:10.347548+02:00,19.6,44.8
143,2023-05-24 18:40:10.333195+02:00,19.6,45.7
144,2023-05-24 18:41:10.461364+02:00,19.6,44.5
145,2023-05-24 18:42:10.399985+02:00,19.6,44.9
146,2023-05-24 18:43:10.316517+02:00,19.7,44.9
147,2023-05-24 19:02:33.468655+02:00,19.6,41.8
148,2023-05-24 19:03:37.848387+02:00,19.6,41.0
149,2023-05-24 19:04:37.956606+02:00,19.6,42.6
150,2023-05-24 19:05:37.927506+02:00,19.6,42.3
151,2023-05-24 19:06:38.003741+02:00,19.6,42.0
152,2023-05-24 19:07:38.098376+02:00,19.6,42.0
153,2023-05-24 19:08:38.126384+02:00,19.5,41.9
154,2023-05-24 19:09:38.145424+02:00,19.5,41.9
155,2023-05-24 19:10:38.198297+02:00,19.5,41.8
156,2023-05-24 19:11:38.234857+02:00,19.5,42.2
157,2023-05-24 19:12:38.341145+02:00,19.5,42.3
158,2023-05-24 19:13:38.350564+02:00,19.4,41.8
159,2023-05-24 19:14:38.375395+02:00,19.4,42.0
160,2023-05-24 19:15:38.365285+02:00,19.4,42.0
161,2023-05-24 19:16:38.501784+02:00,19.4,42.2
162,2023-05-24 19:17:38.587674+02:00,19.4,42.2
163,2023-05-24 19:18:38.573397+02:00,19.3,42.4
